Date,Price,Type
2010-09-02,2104.5,Historical
2010-09-03,2128.25,Historical
2010-09-06,2128.25,Historical
2010-09-07,2109.75,Historical
2010-09-08,2120.25,Historical
2010-09-09,2082.25,Historical
2010-09-10,2083.25,Historical
2010-09-13,2107.5,Historical
2010-09-14,2101.0,Historical
2010-09-15,2117.25,Historical
2010-09-16,2131.5,Historical
2010-09-17,2155.5,Historical
2010-09-20,2173.5,Historical
2010-09-21,2166.5,Historical
2010-09-22,2166.5,Historical
2010-09-23,2233.25,Historical
2010-09-24,2271.5,Historical
2010-09-27,2281.25,Historical
2010-09-28,2224.5,Historical
2010-09-29,2293.25,Historical
2010-09-30,2313.5,Historical
2010-10-01,2344.5,Historical
2010-10-04,2331.5,Historical
2010-10-05,2334.5,Historical
2010-10-06,2334.5,Historical
2010-10-07,2342.75,Historical
2010-10-08,2320.5,Historical
2010-10-11,2390.5,Historical
2010-10-12,2385.25,Historical
2010-10-13,2389.0,Historical
2010-10-14,2401.75,Historical
2010-10-15,2367.5,Historical
2010-10-18,2348.25,Historical
2010-10-19,2356.25,Historical
2010-10-20,2324.0,Historical
2010-10-21,2347.5,Historical
2010-10-22,2326.25,Historical
2010-10-25,2361.5,Historical
2010-10-26,2331.5,Historical
2010-10-27,2321.5,Historical
2010-10-28,2307.5,Historical
2010-10-29,2301.0,Historical
2010-11-01,2368.75,Historical
2010-11-02,2385.5,Historical
2010-11-03,2401.25,Historical
2010-11-04,2440.75,Historical
2010-11-05,2437.5,Historical
2010-11-08,2413.5,Historical
2010-11-09,2425.5,Historical
2010-11-10,2430.25,Historical
2010-11-11,2445.5,Historical
2010-11-12,2433.75,Historical
2010-11-15,2349.75,Historical
2010-11-16,2329.25,Historical
2010-11-17,2224.5,Historical
2010-11-18,2262.5,Historical
2010-11-19,2259.5,Historical
2010-11-22,2265.25,Historical
2010-11-23,2220.75,Historical
2010-11-24,2241.5,Historical
2010-11-25,2241.5,Historical
2010-11-26,2238.25,Historical
2010-11-29,2256.5,Historical
2010-11-30,2244.75,Historical
2010-12-01,2289.75,Historical
2010-12-02,2325.75,Historical
2010-12-03,2323.0,Historical
2010-12-06,2278.25,Historical
2010-12-07,2325.25,Historical
2010-12-08,2295.75,Historical
2010-12-09,2347.5,Historical
2010-12-10,2315.5,Historical
2010-12-13,2297.5,Historical
2010-12-14,2331.5,Historical
2010-12-15,2331.5,Historical
2010-12-16,2295.5,Historical
2010-12-17,2306.25,Historical
2010-12-20,2327.25,Historical
2010-12-21,2377.75,Historical
2010-12-22,2443.75,Historical
2010-12-23,2420.5,Historical
2010-12-24,2401.5,Historical
2010-12-27,2436.25,Historical
2010-12-28,2436.25,Historical
2010-12-29,2436.25,Historical
2010-12-30,2449.75,Historical
2010-12-31,2458.5,Historical
2011-01-03,2471.5,Historical
2011-01-04,2471.5,Historical
2011-01-05,2445.0,Historical
2011-01-06,2469.75,Historical
2011-01-07,2492.0,Historical
2011-01-10,2465.5,Historical
2011-01-11,2488.5,Historical
2011-01-12,2484.25,Historical
2011-01-13,2479.25,Historical
2011-01-14,2452.5,Historical
2011-01-17,2438.5,Historical
2011-01-18,2444.25,Historical
2011-01-19,2444.25,Historical
2011-01-20,2373.25,Historical
2011-01-21,2389.5,Historical
2011-01-24,2394.75,Historical
2011-01-25,2359.5,Historical
2011-01-26,2362.75,Historical
2011-01-27,2390.5,Historical
2011-01-28,2454.5,Historical
2011-01-31,2454.5,Historical
2011-02-01,2530.5,Historical
2011-02-02,2522.25,Historical
2011-02-03,2515.5,Historical
2011-02-04,2523.25,Historical
2011-02-07,2539.0,Historical
2011-02-08,2519.5,Historical
2011-02-09,2537.5,Historical
2011-02-10,2503.25,Historical
2011-02-11,2490.25,Historical
2011-02-14,2484.5,Historical
2011-02-15,2482.25,Historical
2011-02-16,2476.25,Historical
2011-02-17,2473.75,Historical
2011-02-18,2508.5,Historical
2011-02-21,2531.5,Historical
2011-02-22,2477.0,Historical
2011-02-23,2489.25,Historical
2011-02-24,2490.75,Historical
2011-02-25,2529.0,Historical
2011-02-28,2531.25,Historical
2011-03-01,2581.5,Historical
2011-03-02,2554.75,Historical
2011-03-03,2578.5,Historical
2011-03-04,2587.5,Historical
2011-03-07,2565.75,Historical
2011-03-08,2534.75,Historical
2011-03-09,2579.25,Historical
2011-03-10,2546.25,Historical
2011-03-11,2490.5,Historical
2011-03-14,2499.5,Historical
2011-03-15,2473.5,Historical
2011-03-16,2467.5,Historical
2011-03-17,2475.25,Historical
2011-03-18,2507.5,Historical
2011-03-21,2536.25,Historical
2011-03-22,2548.25,Historical
2011-03-23,2600.25,Historical
2011-03-24,2595.75,Historical
2011-03-25,2608.25,Historical
2011-03-28,2584.0,Historical
2011-03-29,2591.5,Historical
2011-03-30,2595.0,Historical
2011-03-31,2599.0,Historical
2011-04-01,2589.25,Historical
2011-04-04,2610.25,Historical
2011-04-05,2592.5,Historical
2011-04-06,2625.75,Historical
2011-04-07,2659.75,Historical
2011-04-08,2659.75,Historical
2011-04-11,2653.25,Historical
2011-04-12,2634.0,Historical
2011-04-13,2634.0,Historical
2011-04-14,2617.25,Historical
2011-04-15,2637.75,Historical
2011-04-18,2658.5,Historical
2011-04-19,2660.25,Historical
2011-04-20,2713.5,Historical
2011-04-21,2731.25,Historical
2011-04-22,2720.5,Historical
2011-04-25,2720.5,Historical
2011-04-26,2720.5,Historical
2011-04-27,2739.5,Historical
2011-04-28,2771.75,Historical
2011-04-29,2740.25,Historical
2011-05-02,2740.25,Historical
2011-05-03,2740.25,Historical
2011-05-04,2753.25,Historical
2011-05-05,2680.5,Historical
2011-05-06,2609.25,Historical
2011-05-09,2619.5,Historical
2011-05-10,2649.5,Historical
2011-05-11,2618.25,Historical
2011-05-12,2600.5,Historical
2011-05-13,2647.75,Historical
2011-05-16,2576.5,Historical
2011-05-17,2524.5,Historical
2011-05-18,2510.5,Historical
2011-05-19,2516.0,Historical
2011-05-20,2494.75,Historical
2011-05-23,2468.25,Historical
2011-05-24,2499.5,Historical
2011-05-25,2539.75,Historical
2011-05-26,2539.75,Historical
2011-05-27,2597.5,Historical
2011-05-30,2648.5,Historical
2011-05-31,2648.5,Historical
2011-06-01,2652.75,Historical
2011-06-02,2631.5,Historical
2011-06-03,2609.25,Historical
2011-06-06,2626.75,Historical
2011-06-07,2664.25,Historical
2011-06-08,2645.0,Historical
2011-06-09,2625.25,Historical
2011-06-10,2604.5,Historical
2011-06-13,2559.75,Historical
2011-06-14,2575.25,Historical
2011-06-15,2578.25,Historical
2011-06-16,2515.25,Historical
2011-06-17,2518.5,Historical
2011-06-20,2490.5,Historical
2011-06-21,2519.5,Historical
2011-06-22,2519.5,Historical
2011-06-23,2476.0,Historical
2011-06-24,2465.25,Historical
2011-06-27,2466.25,Historical
2011-06-28,2488.75,Historical
2011-06-29,2491.25,Historical
2011-06-30,2508.5,Historical
2011-07-01,2485.75,Historical
2011-07-04,2460.25,Historical
2011-07-05,2485.25,Historical
2011-07-06,2516.5,Historical
2011-07-07,2528.75,Historical
2011-07-08,2545.25,Historical
2011-07-11,2451.5,Historical
2011-07-12,2443.5,Historical
2011-07-13,2450.25,Historical
2011-07-14,2476.5,Historical
2011-07-15,2449.5,Historical
2011-07-18,2444.25,Historical
2011-07-19,2481.75,Historical
2011-07-20,2514.5,Historical
