Equipo,Media,Desviación estandard,Min,Max,P5,P50,P95
Equipo 1,455.4076732095588,304.1583516196059,-539.85291606024,1726.7792330592886,-51.369265734553046,451.02170972289156,941.2628345487767
Equipo 2,932.11404251169,300.5100724384659,-23.61437771027887,1953.8961862522708,459.5419056739655,919.3496284223658,1448.997742420672
