Date,P5,P50,P95
2024-04-05,914.1051808725681,931.6389895402658,948.9629651454721
2024-04-08,908.3912948016471,931.282233934558,954.514206357874
2024-04-09,901.7887951455668,930.8464692234206,958.7242232603857
2024-04-10,897.0342531434576,930.7914999101059,963.1568359206093
2024-04-11,890.799741421403,930.9203396146465,970.4700593959225
2024-04-12,886.6367125391932,929.878463324917,971.4384394766215
2024-04-15,882.8407290516294,930.8965752833305,974.1408823082176
2024-04-16,878.7139783146181,929.7206749866508,978.7649345266501
2024-04-17,878.6323045805124,929.5972771014698,981.0480331411877
2024-04-18,877.1000613980696,928.7932563233508,984.3066310846946
2024-04-19,872.3285888775251,928.5449790389245,985.19236547484
2024-04-22,870.5698637743164,929.3753559685281,988.9687560616945
2024-04-23,868.5617908036644,929.1268078202636,991.0623319373468
2024-04-24,864.9670813382163,929.458110440735,992.3822624030051
2024-04-25,861.0385782732556,930.1645239899226,993.5674542932875
2024-04-26,859.9781922351798,931.5518902297898,993.6150663098506
2024-04-29,859.3178506594385,932.0065217615909,995.8604376834393
2024-04-30,855.5611775627689,930.8740475320208,1001.6199879439232
2024-05-01,849.9291175859864,930.2801689771328,1000.4539105811632
2024-05-02,850.1969614336139,930.7593742573075,1003.2348674603986
2024-05-03,846.419619125879,931.1382539935953,1003.8356198028644
2024-05-06,843.9308761877737,930.3501243557582,1008.5734648377157
2024-05-07,846.859392595715,929.7229844271124,1006.9915408717841
2024-05-08,845.942271695486,931.2129233759803,1007.6558408242355
2024-05-09,844.4238883400523,931.0727832980618,1011.7655490826618
2024-05-10,840.6152208142071,929.8110590933884,1011.6720070483351
2024-05-13,838.2261208809382,932.3721639192723,1014.3511140265384
2024-05-14,835.9709866749469,930.6174247690462,1015.5310786843817
2024-05-15,831.9377158826251,931.642696057713,1018.2281065901699
2024-05-16,832.5608435862014,930.8511468824704,1019.5556177928876
2024-05-17,829.0740112952965,929.7625389611188,1021.1716718894373
2024-05-20,825.2008152914203,930.5516242435543,1022.5329531263645
2024-05-21,821.6095511578862,929.3926508191466,1022.6596469876308
2024-05-22,821.361493834703,928.6431537949243,1024.7271924200793
2024-05-23,820.3181122570811,928.3985033042254,1023.0987538530957
2024-05-24,815.708152573879,930.3992735990103,1028.3513931227847
2024-05-27,807.4828292953509,931.1190902210433,1029.1634175188697
2024-05-28,811.2084391947725,929.5394559125099,1033.4586576302986
2024-05-29,811.3531293154323,930.8034715195745,1034.3158409067507
2024-05-30,811.7533232397886,929.4533490970348,1036.199946989982
2024-05-31,810.6266250121488,930.7791380213669,1033.2899961380945
2024-06-03,809.522399140016,931.2982762439009,1035.7632117217365
2024-06-04,809.5914399268491,929.9351196697462,1036.1688089219963
2024-06-05,803.2439793039355,929.9260050599092,1036.5071742630932
2024-06-06,797.7727852427408,931.5936290342372,1031.0428866869893
2024-06-07,797.8569055631357,929.7930685105157,1036.4932439285824
2024-06-10,796.3167922589266,930.5129062811291,1039.8940230655069
2024-06-11,796.5054524520522,930.6911071122852,1038.8181355631036
2024-06-12,794.1571079095514,931.436268793163,1039.2184773379026
2024-06-13,793.4275109331818,931.2128602243406,1039.9173581825958
2024-06-14,789.9248771741824,931.6628583192744,1041.2879256963124
2024-06-17,789.2174226238152,930.2966945449618,1040.821409053485
2024-06-18,790.1724289781847,929.7140607934684,1042.1218529715547
2024-06-19,787.4758683523605,930.0881095256937,1049.6079712261173
2024-06-20,792.9655978255105,929.2855202625606,1046.4373825424095
2024-06-21,788.3325031176415,928.9518228172362,1047.6940569464668
2024-06-24,783.6621096441304,928.542161012103,1047.0796768574373
2024-06-25,784.6163046974817,930.6655429939317,1048.5965709135437
2024-06-26,783.2000138666684,930.128388496006,1049.2546237357194
2024-06-27,781.4208639674102,931.9639952105642,1051.954601480483
2024-06-28,778.7364063156879,931.2057179039664,1058.3613754260239
2024-07-01,780.3374278938807,930.517648485747,1057.255303949731
2024-07-02,781.1283747561032,929.8583295930935,1059.5070470343298
2024-07-03,784.2808603873683,931.4700422582653,1062.1149419573046
2024-07-04,783.6013301955182,929.9663686523933,1060.8724934087597
2024-07-05,777.8719257388803,930.028277917828,1063.6689032797758
2024-07-08,778.3846303005057,929.0917184041473,1063.8393471628012
2024-07-09,775.3127727568274,929.3048268637191,1070.0965398368487
2024-07-10,770.1856281755817,928.4967636362487,1069.8066897857539
2024-07-11,771.6943648694403,929.5359670517522,1070.5307163895736
2024-07-12,765.5826439472451,927.9969122821285,1073.1495092685066
2024-07-15,767.5976626988471,929.0636311333619,1073.5506717159049
2024-07-16,764.5227022038264,929.3071616238653,1074.5333429425202
2024-07-17,768.4925749031772,928.8346680632344,1073.8839561704272
2024-07-18,766.0078039386626,928.2655493165344,1077.8718445835123
2024-07-19,768.5098457257778,927.935297726623,1074.6355889933393
2024-07-22,768.0209316096974,930.4204661014691,1077.8093609455657
2024-07-23,773.3700868246905,929.2250359467731,1079.5464363003798
2024-07-24,769.890581534329,928.8090424816664,1079.3584302319568
2024-07-25,767.3501338522044,927.6659204416849,1078.220971849234
2024-07-26,767.8513772175877,926.8735921207355,1080.0572344223388
2024-07-29,768.0302993424099,926.2885513822166,1080.3949734216005
2024-07-30,766.2233690168968,925.4758563701882,1079.781883261881
2024-07-31,764.8253878876989,926.3397640176231,1086.1664697474484
2024-08-01,762.967153841439,925.7285908950885,1090.3649737966673
2024-08-02,755.9035927566425,926.3715741421356,1092.544775067867
2024-08-05,756.4489447568,927.2769457858903,1090.5181045544912
2024-08-06,755.7158482628713,927.474110268746,1094.7176490573943
2024-08-07,756.1630874853565,926.6904183586116,1096.3053570539569
2024-08-08,748.637213390392,927.1411667215954,1096.5446824006615
2024-08-09,751.6460388118561,926.1579471270074,1098.7888721200775
